Id,Name
6100.0,Unspecified physical exercise
4260.0,Help to other households in employment and farming
7130.0,Literary arts
6110.0,Walking and hiking
6111.0,Taking a walk or hike that lasts at least miles or 1 hour
7140.0,Other specified arts
6119.0,Other walk or hike
6120.0,Jogging and running
5100.0,Unspecified social life
7150.0,Unspecified hobbies
6312.0,Activities related to productive exercise
6130.0,Biking skiing and skating
6131.0,Biking
6132.0,Skiing or skating
6142.0,Indoor team games
5110.0,Socialising with family
7160.0,Collecting
9210.0,Travel related to education
6140.0,Unspecified ball games
6141.0,Indoor pairs or doubles games
8190.0,Other specified reading
6143.0,Outdoor pairs or doubles games
-9.0,No answer/refused
